Thumb,IndexFinger,MiddleFinger,RingFinger,LittleFinger,accelerometer_x,accelerometer_y,accelerometer_z,temperature,gyro_x,gyro_y,gyro_z,Gesture
343,324,365,275,297,6348,2580,16028,28.29,-945,-125,-160,0
343,324,365,276,297,6884,2888,15168,28.34,-692,405,217,0
343,325,364,276,297,6204,1856,15712,28.34,-708,1270,-588,0
343,325,364,276,297,4912,2512,16956,28.39,-987,-383,-1177,0
344,326,364,276,298,5212,2524,16580,28.44,-355,-105,369,0
344,326,366,277,299,5232,2832,16800,28.48,-614,-530,-79,0
344,326,366,276,299,5276,2252,16504,28.48,-464,-443,314,0
345,326,366,277,299,5672,2920,16448,28.53,-838,231,-32,0
345,326,366,277,300,6008,2924,16192,28.48,-671,-222,15,0
346,326,366,277,300,5684,2664,16216,28.53,-659,-172,-90,0
346,327,366,277,300,5864,2508,16248,28.58,-584,-240,-24,0
346,327,366,277,299,5368,2808,16452,28.58,-553,-215,19,0
346,326,368,276,303,5980,2268,16256,28.48,-1208,-471,-483,0
347,327,368,277,302,5868,2360,16340,28.58,-608,-297,-84,0
347,327,367,277,302,5704,2436,16360,28.53,-675,-205,12,0
347,326,368,277,302,5940,2232,16280,28.53,-562,-186,75,0
347,326,368,278,303,5792,2176,16368,28.58,-612,-404,10,0
347,327,368,278,304,5844,2412,16296,28.53,-660,-214,-21,0
346,328,368,278,304,5996,2788,16612,28.67,-633,-225,-44,0
347,328,368,278,304,5776,2572,16332,28.53,-417,-122,127,0
347,328,368,278,304,5656,2280,16384,28.48,-645,-176,45,0
347,328,368,278,304,5868,2324,16568,28.58,-883,-200,21,0
347,328,369,278,304,5692,2348,16648,28.53,-692,41,-88,0
347,328,369,278,304,6036,2520,16392,28.62,-802,-278,23,0
348,328,369,278,304,5724,2316,16584,28.62,-920,-21,101,0
347,329,369,278,304,5772,2868,16472,28.58,-449,305,36,0
347,329,369,279,307,5484,2596,16580,28.62,-659,-284,52,0
347,329,369,280,308,5924,2648,16316,28.58,-580,-237,-12,0
348,329,370,280,308,5828,2952,16308,28.58,-568,-164,90,0
349,329,370,280,309,5948,2924,16516,28.62,-530,-88,58,0
348,329,370,280,309,5828,2608,16396,28.67,-758,-315,-62,0
349,330,370,280,309,5696,2424,16292,28.58,-572,-258,17,0
349,329,370,280,309,5648,2564,16480,28.67,-547,-289,-205,0
349,329,370,281,309,6048,2424,16020,28.72,-776,-72,-183,0
349,330,370,281,309,5720,2940,16532,28.72,-698,-230,184,0
349,330,370,281,309,5980,2592,16376,28.67,-774,-213,-47,0
349,330,370,281,309,6000,2516,16228,28.67,-722,-251,-82,0
349,329,370,281,309,5876,2692,16372,28.77,-901,-185,-66,0
349,329,370,281,309,6112,2168,16272,28.67,-622,-188,-17,0
349,330,370,281,309,5976,2592,16596,28.67,-751,-133,-13,0
349,330,371,281,309,6080,2328,16476,28.72,-459,-231,31,0
349,330,370,281,309,5844,2436,16452,28.67,-674,-283,32,0
349,330,371,281,309,5992,2428,16244,28.72,-701,-199,-44,0
350,330,371,281,309,6080,2584,16316,28.77,-644,-209,53,0
350,330,371,281,309,5908,2412,16340,28.77,-616,-80,161,0
350,330,371,281,309,5948,2496,16436,28.81,-710,-290,-33,0
406,435,444,343,352,-4604,8860,13820,25.24,-4116,-1537,793,0
406,428,440,330,354,4976,8832,14132,25.28,5654,-4234,5158,0
326,274,429,369,404,13440,6920,7136,25.28,-1397,421,-84,0
375,300,360,228,274,14764,7636,5996,25.28,-1462,47,-370,0
374,304,366,233,265,14004,7848,6572,25.38,-824,-21,26,0
374,305,368,235,264,14116,7748,6848,25.42,-560,-202,-100,0
374,307,369,236,266,14184,7688,6508,25.33,-561,-40,17,0
374,308,370,236,266,14564,6912,5848,25.47,-1568,482,-1887,0
379,339,367,238,266,13152,8924,7288,25.52,-1275,259,-17,0
377,333,375,244,326,15008,7660,7376,25.52,-1057,-319,-578,0
377,337,372,247,324,13552,8624,6492,25.57,102,-105,-152,0
372,335,373,245,315,14052,7860,6644,25.61,-490,82,196,0
373,336,378,246,316,13848,8200,6540,25.52,-411,-581,-116,0
374,337,379,246,314,13432,8804,6276,25.61,-104,379,45,0
374,338,377,246,313,13696,8564,6832,25.61,-554,-99,233,0
374,338,379,247,313,13408,7876,7512,25.66,-1802,653,-280,0
374,339,380,247,313,12568,8200,8892,25.66,-1330,547,-702,0
374,339,380,248,312,12760,8268,8628,25.8,-778,-629,9,0
374,340,380,248,313,13076,8272,8544,25.75,-852,-125,-86,0
374,340,381,248,313,13104,8108,8504,25.94,-577,-216,-18,0
374,340,381,249,312,13000,8312,8320,25.8,-752,-118,-27,0
373,340,382,249,312,13060,7864,8568,25.94,-641,-331,-52,0
373,341,382,249,311,13032,7832,8220,25.99,-661,-293,51,0
373,341,382,250,311,12956,8040,8424,26.08,-721,-379,-35,0
373,342,382,250,311,12892,8084,8416,26.18,-567,-112,22,0
373,342,383,250,311,12512,8636,8544,26.13,-636,-49,71,0
373,342,383,251,311,12232,9084,8080,26.08,-556,-768,122,0
373,343,383,251,312,11884,9196,8796,26.22,-936,224,53,0
373,343,384,251,312,11752,9132,9052,26.22,-604,-443,106,0
373,344,383,252,312,11768,9152,8436,26.18,-700,-44,238,0
